,Firm ID,Firm age,Firm size,Firm # floors,Total revenue - 2017,Firm avg # staff,Firm # manager,Acomp0,Acomp1,Acomp2,forecast
0,15,24,277,2,352577.3188,5.797517455,0,0.9507090775426459,0.8658932960797976,0.0984349466343079,185298.0967153199
1,26,24,258,2,162942.4687,6.891388673,0,0.969149456979477,1.390695438594108,-0.07035841969641446,188772.8526257947
2,48,24,327,3,169315.0171,5.797517455,0,1.4400555404373634,0.23399561934258384,-0.029040768786116503,198287.82849524857
3,59,24,295,3,121601.6508,5.797517455,0,1.2866023041780723,0.45480316445608526,-0.2947616915582841,194715.19773652143
4,60,24,215,4,180224.7299,3.172226532,0,0.8896172224715648,-0.2249382504331532,-1.4752768914992596,179760.7040438184
5,71,24,398,4,234189.6315,5.688130333999999,0,2.0191503658607837,-0.5821767748477528,0.01896502819810843,213062.49867233768
6,82,24,256,2,143869.9027,4.594259116,1,-0.14423440017707623,0.975468854705605,1.333101841345235,148428.59331498004
7,118,22,270,2,111261.39,3.2816136539999996,0,-0.44918302852009623,-0.6644750544346412,-0.05614637443196762,131890.00278675175
8,129,23,433,3,176954.2982,6.891388673,0,1.5007467429121621,-0.44031439982506687,0.7792359811590643,195840.28906791937
9,130,22,247,3,130151.6837,5.031807603,0,-0.13461657927660003,-0.16273925864462674,-0.807432454424011,145683.2793269078
10,141,23,198,3,127120.7754,8.094647013,1,-0.37939812772693365,2.0120464742583053,0.21264675428072036,147390.0293971541
11,152,23,263,2,123642.44300000001,4.594259116,1,-0.6678423858452447,0.59058451562968,1.3303260548987696,129332.2220543696
12,163,21,507,3,131721.8988,1.750193949,0,0.12522009531075773,-3.328950266382312,1.1485858144366856,135690.41677265315
13,174,21,186,2,95426.38996,6.563227307999999,0,-1.065480317663491,0.7380228115301226,-0.8215983936631921,119771.98524606219
14,185,21,244,3,124690.9633,4.703646237,0,-0.7390446728756237,-0.5967305388694805,-0.8899395587003088,123791.6593240849
15,196,21,214,2,77795.87743,5.688130333999999,1,-1.9076161776012763,0.649228354523205,0.7906148468633868,89701.86815037367
16,211,21,197,2,143844.2784,5.46935609,0,-1.1373176279049226,0.29005479447952576,-0.7452676046783475,115054.06547626154
17,222,21,297,2,128442.7171,7.657098526,0,-0.43866978766306675,0.3874265412061726,0.06306714211518077,137410.5474442221
18,233,21,288,3,113162.1668,1.422032583,0,-0.856706188416454,-2.081433901210052,-0.49150858458433466,111916.01034692756
19,244,20,294,5,149004.2655,7.110162917,1,-1.2611415120220304,-0.5064614201580929,-0.0936476679092195,106141.72009229162
